"Path","File","mfst","bld","inst","s10"
"ext/Encode/EBCDIC","ebcdic_t.h",,"X",,"skip"
"ext/Encode/EBCDIC","pm_to_blib",,"X",,"skip"
"ext/Encode/Encode","Changes.e2x","X","X","X","distrib"
"ext/Encode/Encode","ConfigLocal_PM.e2x","X","X","X","distrib"
"ext/Encode/Encode","Makefile_PL.e2x","X","X","X","distrib"
"ext/Encode/Encode","README.e2x","X","X","X","distrib"
"ext/Encode/Encode","_PM.e2x","X","X","X","distrib"
"ext/Encode/Encode","_T.e2x","X","X","X","distrib"
"ext/Encode/Encode","encode.h","X","X","X","distrib"
"ext/Encode/JP","JP.bs",,"X",,"skip"
"ext/Encode/JP","JP.c",,"X",,"skip"
"ext/Encode/JP","JP.pm","X","X","X","distrib"
"ext/Encode/JP","JP.xs",,"X",,"skip"
"ext/Encode/JP","Makefile",,"X",,"skip"
"ext/Encode/JP","Makefile.PL","X","X",,"distrib"
"ext/Encode/JP","cp_00_t.c",,"X",,"skip"
"ext/Encode/JP","cp_00_t.exh",,"X",,"skip"
"ext/Encode/JP","cp_00_t.fnm",,"X",,"skip"
"ext/Encode/JP","cp_00_t.h",,"X",,"skip"
"ext/Encode/JP","eu_01_t.c",,"X",,"skip"
"ext/Encode/JP","eu_01_t.exh",,"X",,"skip"
"ext/Encode/JP","eu_01_t.fnm",,"X",,"skip"
"ext/Encode/JP","eu_01_t.h",,"X",,"skip"
"ext/Encode/JP","ji_02_t.c",,"X",,"skip"
"ext/Encode/JP","ji_02_t.exh",,"X",,"skip"
"ext/Encode/JP","ji_02_t.fnm",,"X",,"skip"
"ext/Encode/JP","ji_02_t.h",,"X",,"skip"
"ext/Encode/JP","ji_03_t.c",,"X",,"skip"
"ext/Encode/JP","ji_03_t.exh",,"X",,"skip"
"ext/Encode/JP","ji_03_t.fnm",,"X",,"skip"
"ext/Encode/JP","ji_03_t.h",,"X",,"skip"
"ext/Encode/JP","ji_04_t.c",,"X",,"skip"
"ext/Encode/JP","ji_04_t.exh",,"X",,"skip"
"ext/Encode/JP","ji_04_t.fnm",,"X",,"skip"
"ext/Encode/JP","ji_04_t.h",,"X",,"skip"
"ext/Encode/JP","ma_05_t.c",,"X",,"skip"
"ext/Encode/JP","ma_05_t.exh",,"X",,"skip"
"ext/Encode/JP","ma_05_t.fnm",,"X",,"skip"
"ext/Encode/JP","ma_05_t.h",,"X",,"skip"
"ext/Encode/JP","pm_to_blib",,"X",,"skip"
"ext/Encode/JP","sh_06_t.c",,"X",,"skip"
"ext/Encode/JP","sh_06_t.exh",,"X",,"skip"
"ext/Encode/JP","sh_06_t.fnm",,"X",,"skip"
"ext/Encode/JP","sh_06_t.h",,"X",,"skip"
"ext/Encode/KR","KR.bs",,"X",,"skip"
"ext/Encode/KR","KR.c",,"X",,"skip"
"ext/Encode/KR","KR.pm","X","X","X","distrib"
"ext/Encode/KR","KR.xs",,"X",,"skip"
"ext/Encode/KR","Makefile",,"X",,"skip"
"ext/Encode/KR","Makefile.PL","X","X",,"distrib"
"ext/Encode/KR","cp_00_t.c",,"X",,"skip"
"ext/Encode/KR","cp_00_t.exh",,"X",,"skip"
"ext/Encode/KR","cp_00_t.fnm",,"X",,"skip"
"ext/Encode/KR","cp_00_t.h",,"X",,"skip"
"ext/Encode/KR","eu_01_t.c",,"X",,"skip"
"ext/Encode/KR","eu_01_t.exh",,"X",,"skip"
"ext/Encode/KR","eu_01_t.fnm",,"X",,"skip"
"ext/Encode/KR","eu_01_t.h",,"X",,"skip"
"ext/Encode/KR","jo_02_t.c",,"X",,"skip"
"ext/Encode/KR","jo_02_t.exh",,"X",,"skip"
"ext/Encode/KR","jo_02_t.fnm",,"X",,"skip"
"ext/Encode/KR","jo_02_t.h",,"X",,"skip"
"ext/Encode/KR","ks_03_t.c",,"X",,"skip"
"ext/Encode/KR","ks_03_t.exh",,"X",,"skip"
"ext/Encode/KR","ks_03_t.fnm",,"X",,"skip"
"ext/Encode/KR","ks_03_t.h",,"X",,"skip"
"ext/Encode/KR","ma_04_t.c",,"X",,"skip"
"ext/Encode/KR","ma_04_t.exh",,"X",,"skip"
"ext/Encode/KR","ma_04_t.fnm",,"X",,"skip"
"ext/Encode/KR","ma_04_t.h",,"X",,"skip"
"ext/Encode/KR","pm_to_blib",,"X",,"skip"
"ext/Encode/Symbol","Makefile",,"X",,"skip"
"ext/Encode/Symbol","Makefile.PL","X","X",,"distrib"
"ext/Encode/Symbol","Symbol.bs",,"X",,"skip"
"ext/Encode/Symbol","Symbol.c",,"X",,"skip"
"ext/Encode/Symbol","Symbol.pm","X","X","X","distrib"
"ext/Encode/Symbol","Symbol.xs",,"X",,"skip"
"ext/Encode/Symbol","pm_to_blib",,"X",,"skip"
"ext/Encode/Symbol","symbol_t.c",,"X",,"skip"
"ext/Encode/Symbol","symbol_t.exh",,"X",,"skip"
"ext/Encode/Symbol","symbol_t.fnm",,"X",,"skip"
"ext/Encode/Symbol","symbol_t.h",,"X",,"skip"
"ext/Encode/TW","Makefile",,"X",,"skip"
"ext/Encode/TW","Makefile.PL","X","X",,"distrib"
"ext/Encode/TW","TW.bs",,"X",,"skip"
"ext/Encode/TW","TW.c",,"X",,"skip"
"ext/Encode/TW","TW.pm","X","X","X","distrib"
"ext/Encode/TW","TW.xs",,"X",,"skip"
"ext/Encode/TW","bi_00_t.c",,"X",,"skip"
"ext/Encode/TW","bi_00_t.exh",,"X",,"skip"
"ext/Encode/TW","bi_00_t.fnm",,"X",,"skip"
"ext/Encode/TW","bi_00_t.h",,"X",,"skip"
"ext/Encode/TW","bi_01_t.c",,"X",,"skip"
"ext/Encode/TW","bi_01_t.exh",,"X",,"skip"
"ext/Encode/TW","bi_01_t.fnm",,"X",,"skip"
"ext/Encode/TW","bi_01_t.h",,"X",,"skip"
"ext/Encode/TW","cp_02_t.c",,"X",,"skip"
"ext/Encode/TW","cp_02_t.exh",,"X",,"skip"
"ext/Encode/TW","cp_02_t.fnm",,"X",,"skip"
"ext/Encode/TW","cp_02_t.h",,"X",,"skip"
"ext/Encode/TW","ma_03_t.c",,"X",,"skip"
"ext/Encode/TW","ma_03_t.exh",,"X",,"skip"
"ext/Encode/TW","ma_03_t.fnm",,"X",,"skip"
"ext/Encode/TW","ma_03_t.h",,"X",,"skip"
"ext/Encode/TW","pm_to_blib",,"X",,"skip"
"ext/Encode/Unicode","Makefile",,"X",,"skip"
"ext/Encode/Unicode","Makefile.PL","X","X",,"distrib"
"ext/Encode/Unicode","Unicode.bs",,"X",,"skip"
"ext/Encode/Unicode","Unicode.c",,"X",,"skip"
"ext/Encode/Unicode","Unicode.pm","X","X","X","distrib"
"ext/Encode/Unicode","Unicode.xs","X","X",,"distrib"
"ext/Encode/Unicode","pm_to_blib",,"X",,"skip"
"ext/Encode/bin","enc2xs","X","X",,"distrib"
"ext/Encode/bin","piconv","X","X",,"distrib"
"ext/Encode/bin","ucm2table","X",,,"skip"
"ext/Encode/bin","ucmlint","X",,,"skip"
"ext/Encode/bin","ucmsort","X",,,"skip"
"ext/Encode/bin","unidump","X",,,"skip"
"ext/Encode/blib/man1",".exists",,"X",,"skip"
"ext/Encode/blib/man1","enc2xs.1",,"X",,"skip"
"ext/Encode/blib/man1","piconv.1",,"X",,"skip"
"ext/Encode/blib/script",".exists",,"X",,"skip"
"ext/Encode/blib/script","enc2xs",,"X",,"skip"
"ext/Encode/blib/script","piconv",,"X",,"skip"
"ext/Encode/lib/Encode","Alias.pm","X","X","X","distrib"
"ext/Encode/lib/Encode","CJKConstants.pm","X","X","X","distrib"
"ext/Encode/lib/Encode","Config.pm","X","X","X","distrib"
"ext/Encode/lib/Encode","Encoder.pm","X","X","X","distrib"
"ext/Encode/lib/Encode","Encoding.pm","X","X","X","distrib"
"ext/Encode/lib/Encode","Guess.pm","X","X","X","distrib"
"ext/Encode/lib/Encode","PerlIO.pod","X","X","X","distrib"
"ext/Encode/lib/Encode","Supported.pod","X","X","X","distrib"
"ext/Encode/lib/Encode/CN","HZ.pm","X","X","X","distrib"
"ext/Encode/lib/Encode/JP","H2Z.pm","X","X","X","distrib"
"ext/Encode/lib/Encode/JP","JIS7.pm","X","X","X","distrib"
"ext/Encode/lib/Encode/KR","2022_KR.pm","X","X","X","distrib"
"ext/Encode/lib/Encode/MIME","Header.pm","X","X","X","distrib"
"ext/Encode/lib/Encode/Unicode","UTF7.pm","X","X","X","distrib"
"ext/Encode/t","Aliases.t","X","X",,"distrib"
"ext/Encode/t","CJKT.t","X","X",,"distrib"
"ext/Encode/t","Encode.t","X","X",,"distrib"
"ext/Encode/t","Encoder.t","X","X",,"distrib"
"ext/Encode/t","Mod_EUCJP.pm","X","X",,"distrib"
"ext/Encode/t","Unicode.t","X","X",,"distrib"
"ext/Encode/t","at-cn.t","X","X",,"distrib"
"ext/Encode/t","at-tw.t","X","X",,"distrib"
"ext/Encode/t","big5-eten.enc","X","X",,"distrib"
"ext/Encode/t","big5-eten.utf","X","X",,"distrib"
"ext/Encode/t","big5-hkscs.enc","X","X",,"distrib"
"ext/Encode/t","big5-hkscs.utf","X","X",,"distrib"
"ext/Encode/t","enc_data.t","X","X",,"distrib"
"ext/Encode/t","enc_eucjp.t","X","X",,"distrib"
"ext/Encode/t","enc_module.enc","X","X",,"distrib"
"ext/Encode/t","enc_module.t","X","X",,"distrib"
"ext/Encode/t","enc_utf8.t","X","X",,"distrib"
"ext/Encode/t","encoding.t","X","X",,"distrib"
"ext/Encode/t","fallback.t","X","X",,"distrib"
"ext/Encode/t","gb2312.enc","X","X",,"distrib"
"ext/Encode/t","gb2312.utf","X","X",,"distrib"
"ext/Encode/t","grow.t","X","X",,"distrib"
"ext/Encode/t","gsm0338.t","X","X",,"distrib"
"ext/Encode/t","guess.t","X","X",,"distrib"
"ext/Encode/t","jisx0201.enc","X","X",,"distrib"
"ext/Encode/t","jisx0201.utf","X","X",,"distrib"
"ext/Encode/t","jisx0208.enc","X","X",,"distrib"
"ext/Encode/t","jisx0208.utf","X","X",,"distrib"
"ext/Encode/t","jisx0212.enc","X","X",,"distrib"
"ext/Encode/t","jisx0212.utf","X","X",,"distrib"
"ext/Encode/t","jperl.t","X","X",,"distrib"
"ext/Encode/t","ksc5601.enc","X","X",,"distrib"
"ext/Encode/t","ksc5601.utf","X","X",,"distrib"
"ext/Encode/t","mime-header.t","X","X",,"distrib"
"ext/Encode/t","perlio.t","X","X",,"distrib"
"ext/Encode/t","rt.pl","X",,,"skip"
"ext/Encode/t","unibench.pl","X",,,"skip"
"ext/Encode/ucm","8859-1.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-10.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-11.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-13.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-14.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-15.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-16.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-2.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-3.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-4.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-5.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-6.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-7.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-8.ucm","X","X",,"distrib"
"ext/Encode/ucm","8859-9.ucm","X","X",,"distrib"
"ext/Encode/ucm","adobeStdenc.ucm","X","X",,"distrib"
"ext/Encode/ucm","adobeSymbol.ucm","X","X",,"distrib"
"ext/Encode/ucm","adobeZdingbat.ucm","X","X",,"distrib"
"ext/Encode/ucm","ascii.ucm","X","X",,"distrib"
"ext/Encode/ucm","big5-eten.ucm","X","X",,"distrib"
"ext/Encode/ucm","big5-hkscs.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp037.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1006.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1026.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1047.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1250.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1251.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1252.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1253.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1254.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1255.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1256.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1257.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp1258.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp424.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp437.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp500.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp737.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp775.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp850.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp852.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp855.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp856.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp857.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp860.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp861.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp862.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp863.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp864.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp865.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp866.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp869.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp874.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp875.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp932.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp936.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp949.ucm","X","X",,"distrib"
"ext/Encode/ucm","cp950.ucm","X","X",,"distrib"
"ext/Encode/ucm","ctrl.ucm","X","X",,"distrib"
"ext/Encode/ucm","dingbats.ucm","X","X",,"distrib"
"ext/Encode/ucm","euc-cn.ucm","X","X",,"distrib"
"ext/Encode/ucm","euc-jp.ucm","X","X",,"distrib"
"ext/Encode/ucm","euc-kr.ucm","X","X",,"distrib"
"ext/Encode/ucm","gb12345.ucm","X","X",,"distrib"
"ext/Encode/ucm","gb2312.ucm","X","X",,"distrib"
"ext/Encode/ucm","gsm0338.ucm","X","X",,"distrib"
"ext/Encode/ucm","hp-roman8.ucm","X","X",,"distrib"
"ext/Encode/ucm","ir-165.ucm","X","X",,"distrib"
"ext/Encode/ucm","jis0201.ucm","X","X",,"distrib"
"ext/Encode/ucm","jis0208.ucm","X","X",,"distrib"
"ext/Encode/ucm","jis0212.ucm","X","X",,"distrib"
"ext/Encode/ucm","johab.ucm","X","X",,"distrib"
"ext/Encode/ucm","koi8-f.ucm","X","X",,"distrib"
"ext/Encode/ucm","koi8-r.ucm","X","X",,"distrib"
"ext/Encode/ucm","koi8-u.ucm","X","X",,"distrib"
"ext/Encode/ucm","ksc5601.ucm","X","X",,"distrib"
"ext/Encode/ucm","macArabic.ucm","X","X",,"distrib"
"ext/Encode/ucm","macCentEuro.ucm","X","X",,"distrib"
"ext/Encode/ucm","macChinsimp.ucm","X","X",,"distrib"
"ext/Encode/ucm","macChintrad.ucm","X","X",,"distrib"
"ext/Encode/ucm","macCroatian.ucm","X","X",,"distrib"
"ext/Encode/ucm","macCyrillic.ucm","X","X",,"distrib"
"ext/Encode/ucm","macDingbats.ucm","X","X",,"distrib"
"ext/Encode/ucm","macFarsi.ucm","X","X",,"distrib"
"ext/Encode/ucm","macGreek.ucm","X","X",,"distrib"
"ext/Encode/ucm","macHebrew.ucm","X","X",,"distrib"
"ext/Encode/ucm","macIceland.ucm","X","X",,"distrib"
"ext/Encode/ucm","macJapanese.ucm","X","X",,"distrib"
"ext/Encode/ucm","macKorean.ucm","X","X",,"distrib"
"ext/Encode/ucm","macROMnn.ucm","X","X",,"distrib"
"ext/Encode/ucm","macRUMnn.ucm","X","X",,"distrib"
"ext/Encode/ucm","macRoman.ucm","X","X",,"distrib"
"ext/Encode/ucm","macSami.ucm","X","X",,"distrib"
"ext/Encode/ucm","macSymbol.ucm","X","X",,"distrib"
"ext/Encode/ucm","macThai.ucm","X","X",,"distrib"
"ext/Encode/ucm","macTurkish.ucm","X","X",,"distrib"
"ext/Encode/ucm","macUkraine.ucm","X","X",,"distrib"
"ext/Encode/ucm","nextstep.ucm","X","X",,"distrib"
"ext/Encode/ucm","null.ucm","X","X",,"distrib"
"ext/Encode/ucm","posix-bc.ucm","X","X",,"distrib"
"ext/Encode/ucm","shiftjis.ucm","X","X",,"distrib"
"ext/Encode/ucm","symbol.ucm","X","X",,"distrib"
"ext/Encode/ucm","viscii.ucm","X","X",,"distrib"
"ext/Errno","ChangeLog","X",,,"skip"
"ext/Errno","Errno.pm",,"X",,"skip"
"ext/Errno","Errno_pm.PL","X","X",,"distrib"
"ext/Errno","Makefile",,"X",,"skip"
"ext/Errno","Makefile.PL","X","X",,"distrib"
"ext/Errno","pm_to_blib",,"X",,"skip"
"ext/Errno/t","Errno.t","X","X",,"distrib"
"ext/Fcntl","Fcntl.bs",,"X",,"skip"
"ext/Fcntl","Fcntl.c",,"X",,"skip"
"ext/Fcntl","Fcntl.pm","X","X","X","distrib"
"ext/Fcntl","Fcntl.xs","X","X",,"distrib"
"ext/Fcntl","Makefile",,"X",,"skip"
"ext/Fcntl","Makefile.PL","X","X",,"distrib"
"ext/Fcntl","const-c.inc",,"X",,"skip"
"ext/Fcntl","const-xs.inc",,"X",,"skip"
"ext/Fcntl","pm_to_blib",,"X",,"skip"
"ext/Fcntl/t","fcntl.t","X","X",,"distrib"
"ext/Fcntl/t","syslfs.t","X","X",,"distrib"
"ext/File/Glob","Changes","X",,,"skip"
"ext/File/Glob","Glob.bs",,"X",,"skip"
"ext/File/Glob","Glob.c",,"X",,"skip"
"ext/File/Glob","Glob.pm","X","X","X","distrib"
"ext/File/Glob","Glob.xs","X","X",,"distrib"
"ext/File/Glob","Makefile",,"X",,"skip"
"ext/File/Glob","Makefile.PL","X","X",,"distrib"
"ext/File/Glob","TODO","X",,,"skip"
"ext/File/Glob","bsd_glob.c","X","X",,"distrib"
"ext/File/Glob","bsd_glob.h","X","X",,"distrib"
"ext/File/Glob","const-c.inc",,"X",,"skip"
"ext/File/Glob","const-xs.inc",,"X",,"skip"
"ext/File/Glob","pm_to_blib",,"X",,"skip"
"ext/File/Glob/t","basic.t","X","X",,"distrib"
"ext/File/Glob/t","case.t","X","X",,"distrib"
"ext/File/Glob/t","global.t","X","X",,"distrib"
"ext/File/Glob/t","taint.t","X","X",,"distrib"
"ext/Filter/Util/Call","Call.bs",,"X",,"skip"
"ext/Filter/Util/Call","Call.c",,"X",,"skip"
"ext/Filter/Util/Call","Call.pm","X","X","X","distrib"
"ext/Filter/Util/Call","Call.xs","X","X",,"distrib"
"ext/Filter/Util/Call","Makefile",,"X",,"skip"
"ext/Filter/Util/Call","Makefile.PL","X","X",,"distrib"
"ext/Filter/Util/Call","pm_to_blib",,"X",,"skip"
"ext/Filter/t","call.t","X","X",,"distrib"
"ext/GDBM_File","GDBM_File.pm","X",,,"skip"
"ext/GDBM_File","GDBM_File.xs","X",,,"skip"
"ext/GDBM_File","Makefile.PL","X",,,"skip"
"ext/GDBM_File","typemap","X",,,"skip"
"ext/GDBM_File/hints","sco.pl","X",,,"skip"
"ext/GDBM_File/t","gdbm.t","X","X",,"skip"
"ext/I18N/Langinfo","Langinfo.bs",,"X",,"skip"
"ext/I18N/Langinfo","Langinfo.c",,"X",,"skip"
"ext/I18N/Langinfo","Langinfo.pm","X","X","X","distrib"
"ext/I18N/Langinfo","Langinfo.xs","X","X",,"distrib"
"ext/I18N/Langinfo","Makefile",,"X",,"skip"
"ext/I18N/Langinfo","Makefile.PL","X","X",,"distrib"
"ext/I18N/Langinfo","const-c.inc",,"X",,"skip"
"ext/I18N/Langinfo","const-xs.inc",,"X",,"skip"
"ext/I18N/Langinfo","pm_to_blib",,"X",,"skip"
"ext/I18N/Langinfo/fallback","const-c.inc","X",,,"skip"
"ext/I18N/Langinfo/fallback","const-xs.inc","X",,,"skip"
"ext/I18N/Langinfo/t","Langinfo.t","X","X",,"distrib"
"ext/IO","ChangeLog","X",,,"skip"
"ext/IO","IO.bs",,"X",,"skip"
"ext/IO","IO.c",,"X",,"skip"
"ext/IO","IO.pm","X","X","X","distrib"
"ext/IO","IO.xs","X","X",,"distrib"
"ext/IO","Makefile",,"X",,"skip"
"ext/IO","Makefile.PL","X","X",,"distrib"
"ext/IO","README","X",,,"skip"
"ext/IO","pm_to_blib",,"X",,"skip"
"ext/IO","poll.c","X","X",,"distrib"
"ext/IO","poll.h","X","X",,"distrib"
"ext/IO/hints","sco.pl","X",,,"skip"
"ext/IO/lib/IO","Dir.pm","X","X","X","distrib"
"ext/IO/lib/IO","File.pm","X","X","X","distrib"
"ext/IO/lib/IO","Handle.pm","X","X","X","distrib"
"ext/IO/lib/IO","Pipe.pm","X","X","X","distrib"
"ext/IO/lib/IO","Poll.pm","X","X","X","distrib"
"ext/IO/lib/IO","Seekable.pm","X","X","X","distrib"
"ext/IO/lib/IO","Select.pm","X","X","X","distrib"
"ext/IO/lib/IO","Socket.pm","X","X","X","distrib"
"ext/IO/lib/IO/Socket","INET.pm","X","X","X","distrib"
"ext/IO/lib/IO/Socket","UNIX.pm","X","X","X","distrib"
"ext/IO/t","IO.t","X","X",,"distrib"
"ext/IO/t","io_const.t","X","X",,"distrib"
"ext/IO/t","io_dir.t","X","X",,"distrib"
"ext/IO/t","io_dup.t","X","X",,"distrib"
"ext/IO/t","io_linenum.t","X","X",,"distrib"
"ext/IO/t","io_multihomed.t","X","X",,"distrib"
"ext/IO/t","io_pipe.t","X","X",,"distrib"
"ext/IO/t","io_poll.t","X","X",,"distrib"
"ext/IO/t","io_sel.t","X","X",,"distrib"
"ext/IO/t","io_sock.t","X","X",,"distrib"
"ext/IO/t","io_taint.t","X","X",,"distrib"
"ext/IO/t","io_tell.t","X","X",,"distrib"
"ext/IO/t","io_udp.t","X","X",,"distrib"
"ext/IO/t","io_unix.t","X","X",,"distrib"
"ext/IO/t","io_utf8.t","X","X",,"distrib"
"ext/IO/t","io_xs.t","X","X",,"distrib"
"ext/IPC/SysV","ChangeLog","X",,,"skip"
"ext/IPC/SysV","MANIFEST","X","X",,"skip"
"ext/IPC/SysV","Makefile",,"X",,"skip"
"ext/IPC/SysV","Makefile.PL","X","X",,"distrib"
"ext/IPC/SysV","Msg.pm","X","X","X","distrib"
"ext/IPC/SysV","README","X",,,"skip"
"ext/IPC/SysV","Semaphore.pm","X","X","X","distrib"
"ext/IPC/SysV","SysV.bs",,"X",,"skip"
"ext/IPC/SysV","SysV.c",,"X",,"skip"
"ext/IPC/SysV","SysV.pm","X","X","X","distrib"
"ext/IPC/SysV","SysV.xs","X","X",,"distrib"
"ext/IPC/SysV","pm_to_blib",,"X",,"skip"
"ext/IPC/SysV/hints","cygwin.pl","X",,,"skip"
"ext/IPC/SysV/hints","next_3.pl","X",,,"skip"
"ext/IPC/SysV/t","ipcsysv.t","X","X",,"distrib"
"ext/IPC/SysV/t","msg.t","X","X",,"distrib"
"ext/IPC/SysV/t","sem.t","X","X",,"distrib"
"ext/List/Util","ChangeLog","X",,,"skip"
"ext/List/Util","Makefile",,"X",,"skip"
"ext/List/Util","Makefile.PL","X","X",,"distrib"
"ext/List/Util","README","X",,,"skip"
"ext/List/Util","Util.bs",,"X",,"skip"
"ext/List/Util","Util.c",,"X",,"skip"
"ext/List/Util","Util.xs","X","X",,"distrib"
"ext/List/Util","pm_to_blib",,"X",,"skip"
"ext/List/Util/lib/List","Util.pm","X","X","X","distrib"
"ext/List/Util/lib/Scalar","Util.pm","X","X","X","distrib"
"ext/List/Util/t","blessed.t","X","X",,"distrib"
"ext/List/Util/t","dualvar.t","X","X",,"distrib"
"ext/List/Util/t","first.t","X","X",,"distrib"
"ext/List/Util/t","isvstring.t","X","X",,"distrib"
"ext/List/Util/t","lln.t","X","X",,"distrib"
"ext/List/Util/t","max.t","X","X",,"distrib"
"ext/List/Util/t","maxstr.t","X","X",,"distrib"
"ext/List/Util/t","min.t","X","X",,"distrib"
"ext/List/Util/t","minstr.t","X","X",,"distrib"
"ext/List/Util/t","openhan.t","X","X",,"distrib"
"ext/List/Util/t","proto.t","X","X",,"distrib"
"ext/List/Util/t","readonly.t","X","X",,"distrib"
"ext/List/Util/t","reduce.t","X","X",,"distrib"
"ext/List/Util/t","refaddr.t","X","X",,"distrib"
"ext/List/Util/t","reftype.t","X","X",,"distrib"
"ext/List/Util/t","shuffle.t","X","X",,"distrib"
"ext/List/Util/t","sum.t","X","X",,"distrib"
"ext/List/Util/t","tainted.t","X","X",,"distrib"
"ext/List/Util/t","weak.t","X","X",,"distrib"
"ext/MIME/Base64","Base64.bs",,"X",,"skip"
"ext/MIME/Base64","Base64.c",,"X",,"skip"
"ext/MIME/Base64","Base64.pm","X","X","X","distrib"
"ext/MIME/Base64","Base64.xs","X","X",,"distrib"
"ext/MIME/Base64","Changes","X",,,"skip"
"ext/MIME/Base64","Makefile",,"X",,"skip"
"ext/MIME/Base64","Makefile.PL","X","X",,"distrib"
"ext/MIME/Base64","QuotedPrint.pm","X","X","X","distrib"
"ext/MIME/Base64","pm_to_blib",,"X",,"skip"
"ext/MIME/Base64/t","base64.t","X","X",,"distrib"
"ext/MIME/Base64/t","quoted-print.t","X","X",,"distrib"
"ext/MIME/Base64/t","unicode.t","X","X",,"distrib"
"ext/MIME/Base64/t","warn.t","X","X",,"distrib"
"ext/NDBM_File","Makefile",,"X",,"skip"
"ext/NDBM_File","Makefile.PL","X","X",,"distrib"
"ext/NDBM_File","NDBM_File.bs",,"X",,"skip"
"ext/NDBM_File","NDBM_File.c",,"X",,"skip"
"ext/NDBM_File","NDBM_File.pm","X","X","X","distrib"
"ext/NDBM_File","NDBM_File.xs","X","X",,"distrib"
"ext/NDBM_File","pm_to_blib",,"X",,"skip"
"ext/NDBM_File","typemap","X","X",,"distrib"
"ext/NDBM_File/hints","cygwin.pl","X",,,"skip"
"ext/NDBM_File/hints","dec_osf.pl","X",,,"skip"
"ext/NDBM_File/hints","dynixptx.pl","X",,,"skip"
"ext/NDBM_File/hints","linux.pl","X",,,"skip"
"ext/NDBM_File/hints","sco.pl","X",,,"skip"
"ext/NDBM_File/hints","solaris.pl","X","X",,"distrib"
"ext/NDBM_File/hints","svr4.pl","X",,,"skip"
"ext/NDBM_File/t","ndbm.t","X","X",,"distrib"
"ext/ODBM_File","Makefile",,"X",,"skip"
"ext/ODBM_File","Makefile.PL","X","X",,"distrib"
"ext/ODBM_File","ODBM_File.bs",,"X",,"skip"
"ext/ODBM_File","ODBM_File.c",,"X",,"skip"
"ext/ODBM_File","ODBM_File.pm","X","X","X","distrib"
"ext/ODBM_File","ODBM_File.xs","X","X",,"distrib"
"ext/ODBM_File","pm_to_blib",,"X",,"skip"
"ext/ODBM_File","typemap","X","X",,"distrib"
"ext/ODBM_File/hints","cygwin.pl","X",,,"skip"
"ext/ODBM_File/hints","dec_osf.pl","X",,,"skip"
"ext/ODBM_File/hints","hpux.pl","X",,,"skip"
"ext/ODBM_File/hints","linux.pl","X",,,"skip"
"ext/ODBM_File/hints","sco.pl","X",,,"skip"
"ext/ODBM_File/hints","solaris.pl","X","X",,"distrib"
